CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MFACTOR
201310438251	2	345.142386	1	4	9	2	3	0
201310438253	1	230.094924	1	6	9	2	3	0
201310438253	2	230.094924	1	6	9	2	3	0
201310438260	1	57.523731	1	1	9	2	3	0
201310438260	2	57.523731	1	1	9	2	3	0
201310438262	1	89.85326	1	3	10	2	3	0
201310438265	1	179.70652	1	6	10	2	3	0
201310438265	2	179.70652	1	6	10	2	3	0
201310438267	1	179.70652	1	6	10	2	3	0
201310438267	2	179.70652	1	6	10	2	3	0
201310438268	1	359.41304	1	4	10	2	3	0
201310438268	2	359.41304	1	4	10	2	3	0
201310438299	1	27.146	1	3	1	2	3	97
201310438301	1	54.292	1	2	1	2	3	0
201310438301	2	54.292	1	2	1	2	3	0
201310438306	1	217.168	1	6	3	2	3	0
201310438306	2	217.168	1	6	3	2	3	0
201310438319	1	215.54684	1	6	4	2	3	0
201310438319	2	215.54684	1	6	4	2	3	0
201310438319	3	215.54684	1	6	4	2	3	0
201310438321	1	323.32026	1	4	4	2	3	0
201310438321	2	323.32026	1	4	4	2	3	0
201310438324	1	53.88671	1	3	4	2	3	0
201310438324	2	53.88671	1	3	4	2	3	0
201310438329	1	98.56061	1	5	6	2	3	11
201310438335	1	197.12122	1	6	6	2	3	3
201310438345	1	81.438	1	5	1	2	3	0
201310438346	1	352.898	1	4	1	2	3	0
201310438346	2	352.898	1	4	1	2	3	0
201310438348	1	217.168	1	6	1	2	3	0
201310438350	1	27.146	1	1	1	2	3	0
201310438350	2	27.146	1	1	1	2	3	0
201310438359	1	217.168	1	6	2	2	3	0
201310438366	1	27.146	1	1	3	2	3	99
201310438367	1	352.898	1	4	3	2	3	0
201310438367	2	352.898	1	4	3	2	3	0
201310438375	1	49.280305	1	1	6	2	3	0
201310438376	1	98.56061	1	5	6	2	3	0
201310438377	1	49.280305	1	1	6	2	3	0
201310438377	2	49.280305	1	1	6	2	3	0
201310438378	1	344.962135	1	4	6	2	3	1
201310438381	1	179.70652	1	6	10	2	3	3
201310438382	1	89.85326	1	3	10	2	3	1
201310438385	1	359.41304	1	4	10	2	3	0
201310438385	2	359.41304	1	4	10	2	3	0
201310438391	1	89.85326	1	2	10	2	3	0
201310438391	2	89.85326	1	2	10	2	3	0
201310438424	1	215.54684	1	6	4	2	3	0
201310438424	2	215.54684	1	6	4	2	3	0
201310438433	1	98.56061	1	5	6	2	3	0
201310438433	2	98.56061	1	5	6	2	3	0
201310438435	1	197.12122	1	6	6	2	3	0
201310438439	1	359.41304	1	4	10	2	3	0
201310438442	1	179.70652	1	6	10	2	3	0
201310438442	2	179.70652	1	6	10	2	3	0
201310438474	1	54.292	1	2	1	2	3	0
201310438474	2	54.292	1	2	1	2	3	0
201310438476	1	352.898	1	4	1	2	3	0
201310438476	2	352.898	1	4	1	2	3	0
201310438485	1	27.146	1	3	3	2	3	0
201310438485	2	27.146	1	3	3	2	3	0
201310438491	1	323.32026	1	4	4	2	3	0
201310438491	2	323.32026	1	4	4	2	3	0
201310438493	1	107.77342	1	5	4	2	3	0
201310438493	2	107.77342	1	5	4	2	3	0
201310438493	3	107.77342	1	5	4	2	3	0
201310438500	1	344.962135	1	4	6	2	3	0
201310438500	2	344.962135	1	4	6	2	3	0
201310438503	1	197.12122	1	6	6	2	3	0
201310438505	1	98.56061	1	5	6	2	3	0
201310438511	1	359.41304	1	4	10	2	3	0
201310438511	2	359.41304	1	4	10	2	3	0
201310438513	1	89.85326	1	3	10	2	3	0
201310438514	1	89.85326	1	5	10	2	3	0
201310438514	2	89.85326	1	5	10	2	3	0
201310438517	1	359.41304	1	4	10	2	3	0
201310438528	1	27.146	1	1	1	2	3	0
201310438528	2	27.146	1	1	1	2	3	0
201310438528	3	27.146	1	1	1	2	3	0
201310438535	1	352.898	1	4	1	2	3	0
201310438542	1	352.898	1	4	2	2	3	0
201310438549	1	81.438	1	5	3	2	3	0
201310438549	2	81.438	1	5	3	2	3	0
201310438557	1	27.146	1	3	3	2	3	0
201310438558	1	217.168	1	6	3	2	3	0
201310438559	1	352.898	1	4	3	2	3	0
201310438559	2	352.898	1	4	3	2	3	0
201310438572	1	98.56061	1	5	6	2	3	0
201310438572	2	98.56061	1	5	6	2	3	0
201310438574	1	49.280305	1	1	6	2	3	0
201310438576	1	98.56061	1	5	6	2	3	0
201310438577	1	344.962135	1	4	6	2	3	0
201310438577	2	344.962135	1	4	6	2	3	0
201310438579	1	230.094924	1	6	9	2	3	0
201310438584	1	230.094924	1	6	9	2	3	0
201310438585	1	345.142386	1	4	9	2	3	0
201310438593	1	115.047462	1	5	9	2	3	0
201310438596	1	230.094924	1	6	9	2	3	0
201310438596	2	230.094924	1	6	9	2	3	0
201310438597	1	345.142386	1	4	9	2	3	0
201310438597	2	345.142386	1	4	9	2	3	0
201310438606	1	345.142386	1	4	9	2	3	0
201310438606	2	345.142386	1	4	9	2	3	0
201310438608	1	57.523731	1	1	9	2	3	0
201310438609	1	57.523731	1	1	9	2	3	0
201310438611	1	230.094924	1	6	9	2	3	0
201310438618	1	89.85326	1	3	10	2	3	0
201310438621	1	89.85326	1	5	10	2	3	0
201310438621	2	89.85326	1	5	10	2	3	0
201310438621	3	89.85326	1	5	10	2	3	0
201310438622	1	359.41304	1	4	10	2	3	0
201310438622	2	359.41304	1	4	10	2	3	0
201310438624	1	179.70652	1	6	10	2	3	0
201310438654	1	53.88671	1	1	4	2	3	0
201310438656	1	323.32026	1	4	4	2	3	0
201310438657	1	53.88671	1	1	4	2	3	0
201310438658	1	215.54684	1	6	4	2	3	0
201310438661	1	107.77342	1	5	4	2	3	0
201310438673	1	344.962135	1	4	6	2	3	0
201310438674	1	98.56061	1	5	6	2	3	0
201310438674	2	98.56061	1	5	6	2	3	0
201310438674	3	98.56061	1	5	6	2	3	0
201310438675	1	197.12122	1	6	6	2	3	0
201310438684	1	49.280305	1	3	6	2	3	0
201310438685	1	49.280305	1	2	6	2	3	0
