OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
145	1	200910423303	106.645	3	1	1	98	16	2	1	1
145	1	200910423303	106.645	3	2	99	98	16	2	1	1
126	5	200910423306	106.645	2	1	4	98	16	2	1	1
138	4	200910423308	319.935	3	1	1	98	16	2	1	1
158	6	200910423309	106.645	3	1	3	98	16	2	1	1
101	6	200910423309	106.645	1	2	0	98	16	2	1	1
158	6	200910423311	106.645	3	1	1	98	16	2	1	1
126	4	200910423316	319.935	2	1	99	98	16	2	1	1
2	4	200910423318	298.606	4	1	1	4	3	2	1	1
124	4	200910423320	319.935	2	1	1	98	16	2	1	1
145	6	200910423323	106.645	3	1	2	98	16	2	1	1
145	6	200910423325	106.645	3	1	1	98	16	2	1	1
2	1	200910423326	27.146	5	1	3	1	3	2	1	1
140	5	200910423327	106.645	3	1	1	98	16	2	1	1
145	6	200910423328	106.645	3	1	1	98	16	2	1	1
137	6	200910423331	106.645	3	1	1	98	16	2	1	1
158	6	200910423331	106.645	3	2	99	98	16	2	1	1
2	5	200910423333	106.645	4	1	1	1	16	2	1	1
145	5	200910423335	106.645	3	1	3	98	16	2	1	1
135	6	200910423336	106.645	3	1	2	98	16	2	1	1
2	4	200910423337	319.935	5	1	3	1	16	2	1	1
136	5	200910423341	49.28	3	1	1	98	6	2	1	1
137	6	200910423344	147.841	3	1	1	98	6	2	1	1
124	4	200910423346	295.682	2	1	1	98	6	2	1	1
140	3	200910423369	27.146	3	1	1	98	1	2	1	1
2	6	200910423375	135.73	5	1	2	1	3	2	1	1
3	6	200910423375	135.73	4	2	2	3	3	2	1	1
140	6	200910423378	147.841	3	1	4	98	6	2	1	1
138	6	200910423378	147.841	3	2	1	98	6	2	1	1
138	1	200910423379	49.28	3	1	99	98	6	2	1	1
101	1	200910423379	49.28	1	2	0	98	6	2	1	1
3	5	200910423386	89.853	5	1	4	1	10	2	1	2
2	5	200910423386	89.853	5	2	4	1	10	2	1	1
135	3	200910423387	49.28	3	1	3	98	6	2	1	1
2	1	200910423389	49.28	4	1	1	3	6	2	1	1
135	1	200910423389	49.28	3	2	3	98	6	2	1	1
2	1	200910423390	49.28	4	1	1	1	6	2	1	1
158	1	200910423390	49.28	3	2	99	98	6	2	1	2
2	4	200910423392	295.682	4	1	1	4	6	2	1	1
138	6	200910423394	147.841	3	1	1	98	6	2	1	1
158	6	200910423394	147.841	3	2	99	98	6	2	1	1
2	5	200910423398	49.28	5	1	2	1	6	2	1	1
137	5	200910423410	53.887	3	1	2	98	4	2	1	1
