MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
0	3	3	200915444931	20.054	1	1	41
0	3	3	200915444950	20.054	1	1	41
0	3	3	200915444969	20.054	1	2	41
0	3	3	200915445081	20.054	1	2	41
0	3	3	200915445081	20.054	2	2	41
22	3	3	200915445113	20.054	1	1	41
22	3	3	200915445206	20.054	1	1	41
27	3	3	200915445245	20.054	1	1	41
21	3	3	200915445309	20.054	1	1	41
0	3	3	200915445316	20.054	1	1	41
7	3	3	200915445333	20.054	1	1	41
98	3	3	200915445351	20.054	1	1	41
21	3	3	200915445364	20.054	1	1	41
7	3	3	200915445388	20.054	1	2	41
21	3	3	200915445424	20.054	1	1	41
21	3	3	200915445442	20.054	1	1	41
0	3	3	200915445522	20.054	1	1	41
0	3	3	200915445656	20.054	1	2	41
99	3	3	200915445712	20.054	1	1	41
0	3	1	200915445743	10.027	1	3	41
0	3	1	200915445743	10.027	2	3	41
0	3	3	200915445754	20.054	1	1	41
98	3	3	200915445770	20.054	1	1	41
98	3	3	200915445778	20.054	1	1	41
22	3	6	200915445868	140.375	1	1	41
0	3	3	200915445883	20.054	1	1	41
0	3	3	200915445894	20.054	1	1	41
29	3	3	200915445941	20.054	1	2	41
0	3	3	200915446011	20.054	1	1	41
7	3	3	200915446018	20.054	1	1	41
10	3	3	200915446018	20.054	1	1	41
29	3	6	200915446108	140.375	1	1	41
0	3	2	200915446163	10.027	1	3	41
98	3	1	200915446193	10.027	1	1	41
22	3	3	200915446208	20.054	1	1	41
0	3	3	200915446216	20.054	1	2	41
7	3	3	200915446232	20.054	1	1	41
8	3	3	200915446232	20.054	1	1	41
7	3	3	200915446263	20.054	1	2	41
8	3	3	200915446263	20.054	1	2	41
0	3	1	200915700632	4.798	1	1	9
0	3	1	200915700632	4.798	2	1	9
0	3	1	200915700632	4.798	3	1	9
98	3	3	200916126200	12.222	1	1	43
21	3	4	200916126474	305.538	1	1	43
0	3	3	200916126567	12.222	1	4	43
7	3	3	200916127019	12.222	1	3	43
0	3	3	200916127571	12.222	1	3	43
0	3	3	200916127865	12.222	1	3	43
0	3	3	200916128177	12.222	1	1	43
0	3	3	200916128341	12.222	1	1	43
24	3	3	200916128376	12.222	1	1	43
25	3	3	200916128376	12.222	1	1	43
98	3	3	200916128526	12.222	1	1	43
10	3	3	200916128555	12.222	1	1	43
24	3	3	200916128563	12.222	1	1	43
0	3	4	200916128613	305.538	1	1	43
7	3	3	200916128745	12.222	1	1	43
98	3	3	200916128840	12.222	1	1	43
25	3	3	200916129220	12.222	1	3	43
98	3	3	200916129359	12.222	1	1	43
98	3	3	200916129389	12.222	1	1	43
0	3	3	200916129843	12.222	1	3	43
9	3	3	200916130184	12.222	1	1	43
0	3	4	200916130212	305.538	1	1	43
0	3	4	200916130212	305.538	2	1	43
3	3	3	200916130382	12.222	1	3	43
98	3	3	200916130816	12.222	1	3	43
0	3	3	200916130848	12.222	1	3	43
98	3	3	200916131205	41.417	1	6	43
22	3	3	200916131319	12.222	1	1	43
98	3	3	200916131519	12.222	1	1	43
0	3	3	200916131596	12.222	1	1	43
29	3	2	200916131741	12.222	1	1	43
98	3	3	200916132133	12.222	1	1	43
0	3	3	200916132365	41.417	1	6	43
98	3	3	200916132382	12.222	1	3	43
29	3	3	200916132540	12.222	1	1	43
0	3	3	200916132562	12.222	1	1	43
