CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MVIOLATN
201110430244	1	89.85326	1	6	10	2	3	0
201110430245	1	89.85326	1	6	10	2	3	0
201110430245	2	89.85326	1	6	10	2	3	58
201110430246	1	89.85326	1	6	10	2	3	0
201110430247	1	89.85326	1	3	10	2	3	11
201110430247	1	89.85326	1	3	10	2	3	18
201110430247	1	89.85326	1	3	10	2	3	71
201110430248	1	89.85326	1	6	10	2	3	0
201110430253	1	215.54684	1	4	4	2	3	0
201110430253	2	215.54684	1	4	4	2	3	0
201110430266	1	27.146	1	1	1	2	3	0
201110430268	1	217.168	1	4	1	2	3	0
201110430269	1	27.146	1	1	1	2	3	23
201110430269	1	27.146	1	1	1	2	3	52
201110430269	1	27.146	1	1	1	2	3	89
201110430270	1	27.146	1	1	1	2	3	46
201110430270	2	27.146	1	1	1	2	3	0
201110430277	1	217.168	1	4	3	2	3	0
201110430286	1	217.168	1	4	3	2	3	0
201110430286	2	217.168	1	4	3	2	3	0
201110430287	1	54.292	1	5	3	2	3	0
201110430289	1	269.55978	1	4	10	2	3	0
201110430289	2	269.55978	1	4	10	2	3	0
201110430290	1	89.85326	1	5	10	2	3	0
201110430290	2	89.85326	1	5	10	2	3	0
201110430290	3	89.85326	1	5	10	2	3	0
201110430290	4	89.85326	1	5	10	2	3	58
201110430290	4	89.85326	1	5	10	2	3	79
201110430291	1	89.85326	1	6	10	2	3	0
201110430291	2	89.85326	1	6	10	2	3	0
201110430292	1	107.77342	1	6	4	2	3	58
201110430292	2	107.77342	1	6	4	2	3	0
201110430295	2	215.54684	1	4	4	2	3	0
201110430302	1	246.401525	1	4	6	2	3	0
201110430303	1	215.54684	1	4	4	2	3	0
201110430306	1	98.56061	1	6	6	2	3	0
201110430306	2	98.56061	1	6	6	2	3	0
201110430307	1	49.280305	1	5	6	2	3	83
201110430313	1	215.54684	1	4	4	2	3	0
201110430315	1	98.56061	1	6	6	2	3	0
201110430317	1	27.146	1	1	1	2	3	11
201110430317	1	27.146	1	1	1	2	3	52
201110430317	2	27.146	1	1	1	2	3	0
201110430333	1	54.292	1	5	3	2	3	0
201110430334	1	246.401525	1	4	6	2	3	0
201110430334	2	246.401525	1	4	6	2	3	0
201110430338	1	49.280305	1	3	6	2	3	0
201110430338	2	49.280305	1	3	6	2	3	0
201110430341	1	98.56061	1	6	6	2	3	0
201110430341	2	98.56061	1	6	6	2	3	0
201110430342	1	57.523731	1	1	9	2	3	0
201110430343	1	89.85326	1	6	10	2	3	11
201110430343	1	89.85326	1	6	10	2	3	19
201110430345	1	115.047462	1	6	9	2	3	58
201110430345	1	115.047462	1	6	9	2	3	72
201110430345	1	115.047462	1	6	9	2	3	74
201110430345	2	115.047462	1	6	9	2	3	0
201110430348	1	230.094924	1	4	9	2	3	0
201110430351	1	269.55978	1	4	10	2	3	0
201110430352	1	115.047462	1	6	9	2	3	58
201110430352	2	115.047462	1	6	9	2	3	0
201110430355	1	230.094924	1	4	9	2	3	0
201110430355	2	230.094924	1	4	9	2	3	0
201110430356	1	57.523731	1	5	9	2	3	0
201110430356	2	57.523731	1	5	9	2	3	0
201110430358	1	115.047462	1	6	9	2	3	0
201110430359	1	53.88671	1	3	4	2	3	0
201110430363	1	57.523731	1	2	9	2	3	0
201110430363	2	57.523731	1	2	9	2	3	0
201110430365	1	107.77342	1	6	4	2	3	0
201110430365	2	107.77342	1	6	4	2	3	0
201110430370	1	230.094924	1	4	9	2	3	0
201110430371	1	215.54684	1	4	4	2	3	0
201110430371	2	215.54684	1	4	4	2	3	0
201110430372	1	57.523731	1	3	9	2	3	0
201110430376	1	230.094924	1	4	9	2	3	98
201110430376	2	230.094924	1	4	9	2	3	0
201110430377	1	115.047462	1	6	9	2	3	11
201110430377	1	115.047462	1	6	9	2	3	58
201110430377	2	115.047462	1	6	9	2	3	0
201110430378	1	217.168	1	4	2	2	3	0
201110430385	1	108.584	1	6	1	2	3	0
201110430387	1	54.292	1	5	1	2	3	0
201110430388	1	27.146	1	2	1	2	3	0
201110430388	2	27.146	1	2	1	2	3	0
201110430397	1	217.168	1	4	3	2	3	0
201110430398	1	108.584	1	6	3	2	3	0
201110430406	1	49.280305	1	1	6	2	3	23
201110430406	1	49.280305	1	1	6	2	3	52
201110430406	1	49.280305	1	1	6	2	3	53
201110430407	1	246.401525	1	4	6	2	3	0
201110430407	2	246.401525	1	4	6	2	3	46
201110430408	1	89.85326	1	6	10	2	3	0
201110430408	2	89.85326	1	6	10	2	3	0
201110430409	1	49.280305	1	2	6	2	3	0
201110430409	2	49.280305	1	2	6	2	3	0
201110430412	1	98.56061	1	6	6	2	3	0
