CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201113053078	0	1	14.3925	3	3	3	9	8	1
201113053354	0	1	14.3925	3	3	3	9	8	8
201113053490	0	1	14.3925	3	3	7	9	8	1
201113539786	0	1	19.0507	2	3	2	11	6	1
201113540601	0	1	19.0507	2	3	3	11	6	1
201113540601	0	2	19.0507	2	3	3	11	6	1
201113540626	0	1	228.6084	2	4	5	11	6	1
201113541244	0	1	19.0507	2	3	3	11	6	1
201113541563	0	1	19.0507	2	3	3	11	6	1
201113541576	0	1	19.0507	2	3	3	11	6	1
201113541602	0	1	19.0507	2	3	3	11	6	1
201113541812	0	1	19.0507	2	3	5	11	6	1
201113541872	0	1	19.0507	2	3	3	11	6	1
201113541872	0	2	19.0507	2	3	3	11	6	1
201113542179	0	1	19.0507	2	3	1	11	6	1
201113542179	0	2	19.0507	2	3	1	11	6	1
201113542229	0	1	19.0507	2	3	1	11	6	1
201113542403	0	1	19.0507	2	3	3	11	6	8
201113542588	0	1	19.0507	2	3	3	11	6	1
201113542588	0	2	19.0507	2	3	3	11	6	1
201113542786	0	1	19.0507	2	3	3	11	6	1
201113542834	0	1	19.0507	2	3	1	11	6	1
201113542964	0	1	19.0507	2	3	1	11	6	1
201113542974	0	1	19.0507	2	3	3	11	6	2
201113543112	0	1	19.0507	2	3	1	11	6	1
201113543119	0	1	19.0507	2	3	3	11	6	1
201113543140	0	1	19.0507	2	3	1	11	6	1
201113543191	0	1	19.0507	2	3	5	11	6	1
201113543723	0	1	19.0507	2	3	3	11	6	1
201113543808	0	1	19.0507	2	3	3	11	6	1
201113543877	0	1	19.0507	2	3	1	11	6	1
201113543929	0	1	19.0507	2	3	1	11	6	1
201113543991	0	1	19.0507	2	3	3	11	6	1
201113544199	0	1	19.0507	2	3	1	11	6	1
201113544210	0	1	19.0507	2	3	3	11	6	1
201113544223	0	1	228.6084	2	4	3	11	6	1
201113544234	0	1	19.0507	2	3	3	11	6	1
201113544238	0	1	19.0507	2	3	3	11	6	2
201113544393	0	1	19.0507	2	2	1	11	6	1
201113544483	0	1	19.0507	2	3	5	11	6	1
201113544491	0	1	19.0507	2	3	3	11	6	1
201113544513	0	1	19.0507	2	3	3	11	6	9
201113544637	0	1	228.6084	2	4	3	11	6	1
201113544637	0	2	228.6084	2	4	3	11	6	1
201113544686	0	1	19.0507	2	3	3	11	6	1
201113544730	0	1	19.0507	2	3	5	11	6	1
201113544732	0	1	19.0507	2	3	5	11	6	1
201113544798	0	1	19.0507	2	3	3	11	6	2
201113544811	0	1	19.0507	2	3	3	11	6	1
201113544880	0	1	19.0507	2	3	5	11	6	1
201113544934	0	1	19.0507	2	3	3	11	6	2
201113545035	0	1	19.0507	2	3	3	11	6	2
201113545356	0	1	19.0507	2	3	1	11	6	1
201113545359	0	1	19.0507	2	3	1	11	6	1
201113545482	0	1	19.0507	2	3	3	11	6	1
201113545532	0	1	19.0507	2	3	3	11	6	1
201113545573	0	1	48.987542	2	3	7	11	6	1
201113545574	0	1	48.987542	2	3	7	11	6	1
201113545723	0	1	19.0507	2	3	3	11	6	1
201113545844	0	1	19.0507	2	3	1	11	6	1
201113545943	0	1	19.0507	2	3	1	11	6	2
201113546089	0	1	19.0507	2	3	3	11	6	1
