CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PIMPACT2	PVEH_SEV	PTOWED	PM_HARM	PFIRE
201110704092	4	99.632	1	6	1	3	1	1	0	4	4	0	14	0	2	0	41	53	5	2008	JM3ER29L5801	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	9	2	12	0
201110704092	5	99.632	1	6	1	3	1	1	0	4	4	0	14	0	2	0	39	36	4	2002	SAJEA51D92XC	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	9	2	12	0
201110704092	6	99.632	1	6	1	3	1	1	0	4	4	0	14	0	2	0	48	401	14	2008	JF1SG65648H7	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	98	8	1	12	0
201110704384	3	49.65933	1	5	8	3	1	2	0	5	12	0	12	6	2	0	52	34	4	2002	4A3AA46G12E1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	6	2	12	0
201110704384	4	49.65933	1	5	8	3	1	2	0	5	12	0	12	6	2	0	37	441	20	2010	5FNRL3H45AB0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110704867	2	218.60058	1	4	21	3	1	1	0	5	18	0	14	0	2	0	35	47	4	2001	1N4DL01D01C1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	12	8	1	14	0
201110704975	2	223.463504	1	4	3	3	1	1	0	5	12	50	14	0	2	0	35	999	49	2011	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110705017	3	46.860768	1	5	16	3	1	2	0	5	7	13	12	1	2	0	12	881	61	1989	2FDLF47M8KCA	0	77	777777777	77777777777	2	1	3	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110705074	2	223.466985	1	4	8	3	1	1	0	5	10	21	14	0	2	0	7	462	21	2007	WD8PE8456752	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	10	10	8	1	14	0
201110705132	1	218.60058	1	4	21	3	1	1	0	6	14	4	14	0	2	0	37	31	4	2009	2HGFA16639H5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	12	0
201110705189	2	223.463504	1	4	3	3	1	1	0	6	10	20	14	0	3	0	7	399	9	1999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	61	61	8	1	12	0
201110705254	2	223.466985	1	4	8	3	1	1	0	6	2	50	14	0	2	0	49	999	49	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	81	81	8	1	12	0
201110705410	3	7.810128	1	2	16	3	1	2	0	6	11	35	12	7	2	0	34	401	14	2011	5UXZW0C58BL6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	12	0
201110705620	2	224.814301	1	4	10	3	1	1	0	6	18	20	14	0	2	0	35	47	4	2002	1N4AL11D92C1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	61	12	9	1	12	0
201110705658	3	101.531664	1	6	16	3	1	2	0	6	10	20	12	6	2	0	2	405	14	2003	1J4GL48K43W6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	12	0
201110705786	1	226.493712	1	4	16	3	1	1	0	6	18	36	14	0	2	0	49	40	4	2007	4T1BE46K7741	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	81	81	8	1	14	0
201110705831	2	43.720116	1	5	21	3	1	1	0	6	18	20	14	0	2	0	59	32	4	1990	JT8UF11E2L00	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	6	2	12	0
201110706005	2	223.463504	1	4	3	3	1	1	0	6	21	0	14	0	2	0	49	40	4	2007	4T1BE46K17U6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	62	8	1	12	0
