200710416690 150 2  116  108.58
200710416692 1 0 2  313   27.15
200710416697 1 4 2  316  108.58
200710416699 1 0 2  314  244.31
200710416704 1 0 2  213   27.15
200710416709 1 0 2  416  107.77
200710416709 2 0 2  416  107.77
200710416711 1 0 2  416  107.77
200710416711 2 0 2  416  107.77
200710416715 150 2 1016   89.85
200710416717 1 4 2  615   49.28
200710416718 1 0 2  613   49.28
200710416723 1 0 2  616   98.56
200710416724 1 0 2  614  246.40
200710416724 2 0 2  614  246.40
200710416730 1 0 2  616   98.56
200710416731 1 0 2  615   49.28
200710416732 1 0 2  614  246.40
200710416737 1 0 2 1016   89.85
200710416738 1 0 2 1016   89.85
200710416738 2 0 2 1016   89.85
200710416740 1 0 2  414  269.43
200710416740 2 0 2  414  269.43
200710416742 1 0 2  416  107.77
200710416742 2 0 2  416  107.77
200710416751 1 0 2  316  108.58
200710416751 2 0 2  316  108.58
200710416759 1 0 2  115   54.29
200710416759 2 0 2  115   54.29
200710416762 1 0 2  213   27.15
200710416764 1 0 2  215   54.29
200710416764 2 0 2  215   54.29
200710416768 1 0 2  613   49.28
200710416769 1 3 2  611   49.28
200710416770 1 0 2  616   98.56
200710416770 2 0 2  616   98.56
200710416771 1 0 2  615   49.28
200710416780 1 0 2  413   53.89
200710416780 2 0 2  413   53.89
200710416782 1 0 2  416  107.77
200710416782 2 0 2  416  107.77
200710416784 1 0 2  414  269.43
200710416784 2 0 2  414  269.43
200710416785 1 0 2  416  107.77
200710416785 2 0 2  416  107.77
200710416787 1 0 2  416  107.77
200710416789 1 0 2 1016   89.85
200710416789 2 0 2 1016   89.85
200710416790 1 0 2 1016   89.85
200710416793 1 0 2  614  246.40
200710416795 1 0 2  615   49.28
200710416795 2 0 2  615   49.28
200710416796 1 0 2  616   98.56
200710416796 2 0 2  616   98.56
200710416796 3 0 2  616   98.56
200710416799 1 0 2  613   49.28
200710416799 2 0 2  613   49.28
200710416802 1 0 2  616   98.56
200710416803 1 3 2  613   49.28
200710416806 1 0 2  114  244.31
200710416816 1 3 2  316  108.58
200710416818 1 0 2 1612  106.65
200710416818 2 0 2 1612  106.65
200710416819 1 0 2 1616  106.65
200710416820 1 4 2 1614  213.29
200710416825 1 0 2  914  230.10
200710416825 2 0 2  914  230.10
200710416827 1 0 2  916  115.05
200710416831 1 0 2  916  115.05
200710416831 250 2  916  115.05
